#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2021 09 07 15 15 230  4.0  4.0    MM    MM    MM  MM     MM  22.2    MM  13.9   MM   MM    MM
2021 09 07 14 45 230  3.0  4.0    MM    MM    MM  MM     MM  21.5    MM  13.9   MM   MM    MM
2021 09 07 14 15 240  3.0  4.0    MM    MM    MM  MM     MM  21.1    MM  13.7   MM   MM    MM
2021 09 07 13 45 250  2.0  4.0    MM    MM    MM  MM     MM  20.7    MM  13.4   MM   MM    MM
2021 09 07 13 15 260  3.0  4.0    MM    MM    MM  MM     MM  20.4    MM  13.5   MM   MM    MM
2021 09 07 12 45 250  3.0  4.0    MM    MM    MM  MM     MM  20.2    MM  13.8   MM   MM    MM
2021 09 07 12 15 270  3.0  4.0    MM    MM    MM  MM     MM  20.3    MM  13.8   MM   MM    MM
2021 09 07 11 45 250  4.0  5.0    MM    MM    MM  MM     MM  20.3    MM  14.3   MM   MM    MM
2021 09 07 11 15 250  4.0  5.0    MM    MM    MM  MM     MM  20.4    MM  14.2   MM   MM    MM
2021 09 07 10 45 260  4.0  5.0    MM    MM    MM  MM     MM  20.3    MM  14.4   MM   MM    MM
2021 09 07 10 15 270  3.0  5.0    MM    MM    MM  MM     MM  20.0    MM  15.3   MM   MM    MM
2021 09 07 09 30 290  4.0  5.0    MM    MM    MM  MM     MM  20.1    MM  15.6   MM   MM    MM
2021 09 07 09 15 310  3.0  4.0    MM    MM    MM  MM     MM  19.8    MM  15.7   MM   MM    MM
2021 09 07 08 45 300  3.0  4.0    MM    MM    MM  MM     MM  19.9    MM  15.3   MM   MM    MM
2021 09 07 08 15 300  3.0  4.0    MM    MM    MM  MM     MM  20.2    MM  15.6   MM   MM    MM
2021 09 07 07 45 310  3.0  4.0    MM    MM    MM  MM     MM  20.4    MM  15.1   MM   MM    MM
2021 09 07 07 15 330  2.0  3.0    MM    MM    MM  MM     MM  20.4    MM  14.9   MM   MM    MM
2021 09 07 06 45 330  3.0  3.0    MM    MM    MM  MM     MM  20.7    MM  14.6   MM   MM    MM
2021 09 07 06 15 300  3.0  4.0    MM    MM    MM  MM     MM  21.1    MM  14.6   MM   MM    MM
2021 09 07 05 45 290  3.0  3.0    MM    MM    MM  MM     MM  21.4    MM  14.8   MM   MM    MM
2021 09 07 05 15 310  2.0  3.0    MM    MM    MM  MM     MM  21.6    MM  14.9   MM   MM    MM
2021 09 07 04 45 310  3.0  4.0    MM    MM    MM  MM     MM  21.8    MM  14.7   MM   MM    MM
2021 09 07 04 15 320  4.0  4.0    MM    MM    MM  MM     MM  22.0    MM  14.8   MM   MM    MM
2021 09 07 03 45 300  3.0  4.0    MM    MM    MM  MM     MM  22.0    MM  14.6   MM   MM    MM
2021 09 07 03 15 290  3.0  4.0    MM    MM    MM  MM     MM  21.8    MM  14.6   MM   MM    MM
2021 09 07 02 45 300  3.0  5.0    MM    MM    MM  MM     MM  22.2    MM  14.5   MM   MM    MM
2021 09 07 02 15 310  3.0  4.0    MM    MM    MM  MM     MM  22.5    MM  15.1   MM   MM    MM
2021 09 07 01 45 310  3.0  4.0    MM    MM    MM  MM     MM  22.9    MM  15.4   MM   MM    MM
